,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
U3_Day001,0,0.21,1,0.77,0.84,0.58,0.47,1,1,1,1,1,1,0.99,0.88,0.97,0.96,0.99,0.98,0.99,0.98,0.92,0.87,0.73,0.74,0.69,0.67,0.67
U3_Day009,0.21,0,1,0.85,-0.96,-1,-1,1,0.73,1,1,1,1,0.93,0.32,0.82,0.77,0.69,0.53,0.56,0.94,-0.49,-0.74,-0.91,-0.97,-0.98,-0.88,-0.92
U3_Day017,1,1,0,0.58,0.73,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1
U3_Day023,0.77,0.85,0.58,0,0.56,0.4,0.28,0.97,1,0.99,1,1,1,0.91,0.71,0.9,0.76,0.94,0.91,0.97,0.74,0.7,0.69,0.77,0.53,0.51,0.74,0.49
U3_Day059,0.84,-0.96,0.73,0.56,0,-1,-1,1,0.92,1,1,1,1,0.98,0.7,0.93,0.92,0.94,0.89,0.91,0.97,-0.5,-0.61,-0.74,-0.87,-0.93,-0.84,-0.76
U3_Day087,0.58,-1,1,0.4,-1,0,-1,1,0.01,1,1,1,1,0.62,-0.09,0.39,0.35,0.3,0.16,0.16,0.64,-0.8,-0.89,-0.95,-0.97,-1,-0.95,-0.96
U3_Day122,0.47,-1,0.95,0.28,-1,-1,0,1,-0.16,1,1,1,1,0.53,-0.12,0.28,0.26,0.22,0.11,0.12,0.53,-0.72,-0.78,-0.84,-0.92,-0.95,-0.87,-0.88
U3_Input2FT,1,1,1,0.97,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
U3_Input2RT,1,0.73,1,1,0.92,0.01,-0.16,1,0,1,1,1,1,1,0.94,1,0.99,0.99,0.98,0.99,1,0.8,0.63,0.31,0.27,0.19,0.26,0.18
U2_20140711FC,1,1,1,0.99,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
U2_20140711HT,1,1,1,1,1,1,1,1,1,1,0,0.97,-0.77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
U2_20140711LW,1,1,1,1,1,1,1,1,1,1,0.97,0,0.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
U2_20140716FC,1,1,1,1,1,1,1,1,1,-1,-0.77,0.66,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
U2_20141010,0.99,0.93,1,0.91,0.98,0.62,0.53,1,1,1,1,1,1,0,-0.98,-0.98,-0.65,-0.02,0.58,0.81,-0.98,0.26,0.8,0.76,0.75,0.73,0.71,0.7
U2_20141011,0.88,0.32,1,0.71,0.7,-0.09,-0.12,1,0.94,1,1,1,1,-0.98,0,-1,-0.6,-0.17,0.2,0.46,-0.99,-0.05,0.3,0.14,0.16,0.13,0.07,0.11
U2_20141012,0.97,0.82,1,0.9,0.93,0.39,0.28,1,1,1,1,1,1,-0.98,-1,0,-0.96,-0.89,-0.19,0.29,-0.98,-0.19,0.67,0.54,0.53,0.48,0.47,0.48
U2_20141016,0.96,0.77,1,0.76,0.92,0.35,0.26,1,0.99,1,1,1,1,-0.65,-0.6,-0.96,0,-0.96,-0.77,-0.5,-0.44,0.21,0.68,0.54,0.53,0.49,0.48,0.45
U2_20141018,0.99,0.69,1,0.94,0.94,0.3,0.22,1,0.99,1,1,1,1,-0.02,-0.17,-0.89,-0.96,0,-1,-1,0.22,0.49,0.69,0.54,0.54,0.47,0.46,0.46
U2_20141020,0.98,0.53,1,0.91,0.89,0.16,0.11,1,0.98,1,1,1,1,0.58,0.2,-0.19,-0.77,-1,0,-1,0.64,0.44,0.59,0.43,0.42,0.37,0.34,0.37
U2_20141022,0.99,0.56,1,0.97,0.91,0.16,0.12,1,0.99,1,1,1,1,0.81,0.46,0.29,-0.5,-1,-1,0,0.81,0.61,0.6,0.43,0.43,0.39,0.38,0.37
U2_20141029,0.98,0.94,0.99,0.74,0.97,0.64,0.53,1,1,1,1,1,1,-0.98,-0.99,-0.98,-0.44,0.22,0.64,0.81,0,0.39,0.81,0.76,0.77,0.73,0.73,0.74
U2_20141105,0.92,-0.49,1,0.7,-0.5,-0.8,-0.72,1,0.8,1,1,1,1,0.26,-0.05,-0.19,0.21,0.49,0.44,0.61,0.39,0,-1,-1,-1,-1,-1,-1
U2_20141119,0.87,-0.74,1,0.69,-0.61,-0.89,-0.78,1,0.63,1,1,1,1,0.8,0.3,0.67,0.68,0.69,0.59,0.6,0.81,-1,0,-1,-1,-1,-1,-1
U2_20141203,0.73,-0.91,1,0.77,-0.74,-0.95,-0.84,1,0.31,1,1,1,1,0.76,0.14,0.54,0.54,0.54,0.43,0.43,0.76,-1,-1,0,-1,-1,-1,-1
U2_20141217,0.74,-0.97,1,0.53,-0.87,-0.97,-0.92,1,0.27,1,1,1,1,0.75,0.16,0.53,0.53,0.54,0.42,0.43,0.77,-1,-1,-1,0,-1,-1,-1
U2_20150107,0.69,-0.98,1,0.51,-0.93,-1,-0.95,1,0.19,1,1,1,1,0.73,0.13,0.48,0.49,0.47,0.37,0.39,0.73,-1,-1,-1,-1,0,-1,-1
U2_20150205,0.67,-0.88,1,0.74,-0.84,-0.95,-0.87,1,0.26,1,1,1,1,0.71,0.07,0.47,0.48,0.46,0.34,0.38,0.73,-1,-1,-1,-1,-1,0,-1
U2_20150514,0.67,-0.92,1,0.49,-0.76,-0.96,-0.88,1,0.18,1,1,1,1,0.7,0.11,0.48,0.45,0.46,0.37,0.37,0.74,-1,-1,-1,-1,-1,-1,0