Sample_Name,Alt_Sample,Day
U3_FT,Utica-3_Input2FT,-25
U3_RT,Utica-3_Input2RT,-24
U3_day1,Utica-3_Day001,38
U3_day9,Utica-3_Day009,46
U3_day17,Utica-3_Day017,54
U3_day23,Utica-3_Day023,60
U3_day59,Utica-3_Day059,96
U3_day87,Utica-3_Day087,124
U3_day122,Utica-3_Day122,159
U2_LW,Utica-2_20140711LW,0
U2_HT,Utica-2_20140711HT,0
U2_FC1,Utica-2_20140711FC,-5
U2_FC2,Utica-2_20140716FC,0
U2_day86,Utica-2_20141010,86
U2_day87,Utica-2_20141011,87
U2_day88,Utica-2_20141012,88
U2_day92,Utica-2_20141016,92
U2_day94,Utica-2_20141018,94
U2_day96,Utica-2_20141020,96
U2_day98,Utica-2_20141022,98
U2_day105,Utica-2_20141029,105
U2_day112,Utica-2_20141105,112
U2_day126,Utica-2_20141119,126
U2_day140,Utica-2_20141203,140
U2_day154,Utica-2_20141217,154
U2_day175,Utica-2_20150107,175
U2_day204,Utica-2_20150205,204
U2_day302,Utica-2_20150514,302